entity_name,type,state,marks,source_page
"KRISHNABEHARI ROYAL, KRISHNABEHARI KRISSHIVSAI TEA PRODUCERSKRISSHIVSAI TEA PRODUCERS",Organized Estate / Factory,Assam,MURLI,23
KYANG TEA SEEDCO. LTDNEWPURUPBARI TEA ESTATE &,Organized Estate / Factory,Assam,NEW PURUPBARI,23
LAKHESHWARI TEA INDUSTRIES LAKHESHWARI TEA FACTORY & STGS,Bought Leaf Factory (BLF),Assam,"KALIBARI, JAZZY",23
LALBAGAN TEA LLPSIRAJULI TEA FACTORY & STGs,Bought Leaf Factory (BLF),Assam,LALBAGAN,23
LALLAMOOKH TEA COMPANY P. LTD LALLAMOOKH TEA,Organized Estate / Factory,Assam,LALLAMOOKH,23
LANKASHI TEA & SEEDS ESTATES PVT. LTD,Organized Estate / Factory,Assam,LANKASHI,24
LAOJAN TEA CO. PVT. LTD. LAOJAN TEA FACTORY & STGs,Bought Leaf Factory (BLF),Assam,LAOJAN,24
LAXMI TEA INDUSTRIESLAXMI TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,"BORGURI, BORGURI ROYAL",24
LAXMI TEA PROCESSORS COMPANY PVT LTD,Organized Estate / Factory,Assam,"LAXMIBARI, LAKHIJURI",24
LEKHAPANI TEA COMPANY PVT LTD- STG,Organized Estate / Factory,Assam,LEKHAPANI TEA,24
NARAYANPUR TEA ESTATE,Organized Estate / Factory,Assam,NARAYANPUR,24
ADDABARIE TEA ESTATE,Organized Estate / Factory,Assam,ADDABARIE HIGH GROWN,24
MAHAKALI TEA ESTATE,Organized Estate / Factory,Assam,,24
"MAHAKALI HIGH GROWN, MAHAKALI HIGH GROWN OR BHUYANKHAT TE & STG",Organized Estate / Factory,Assam,BHUYANKHAT,24
LEPETKATTA TEA ESTATE,Organized Estate / Factory,Assam,,24
"LEPETKATTA HIGH GROWN DO FOR DUST GRADE, SEPON TEA ESTATE",Organized Estate / Factory,Assam,,24
SEPON HIGH GROWN DO FOR DUST GRADE MORAN TEA ESTATE & FACTORY,Organized Estate / Factory,Assam,,24
"grade, Moran High Grown -OD for Dust grade ATTABARIE TEA ESTATE & FACTORY",Organized Estate / Factory,Assam,,24
DIRAI TEA ESTATE,Organized Estate / Factory,Assam,,25
"GROWN- OR, DIRAI HIGH GROWN- DO MONMOHINIPUR FACTORY & ESTATE",Organized Estate / Factory,Assam,MONMOHINIPUR,25
SHYAMAGURI TEA ESTATE & FACTORY,Organized Estate / Factory,Assam,SHYAMAGURI,25
M/S ATCO TEA CO. PVT. LTDATCO TEA FACTORY & STG,Bought Leaf Factory (BLF),Assam,LACHITNAGAR,25
CINNATOLLIAH TEA GARDEN AND FACTORY,Organized Estate / Factory,Assam,CINNATOLLIAH,25
M/S LUHIT TEA COMPANY PVT LTD M/S LUHIT TEA COMPANY PVT LTD,Organized Estate / Factory,Assam,SHIVAMGURI,25
M/S MANGLA TEA FACTORYM/S MANGLA TEA FACTORY,Organized Estate / Factory,Assam,SINGIMARI,25
M/S. SONABHEEL TEA LTD.SONABHEEL TEA ESTATE,Organized Estate / Factory,Assam,SONABHEEL,25
MADHHUPUR TEA ESTATE FACTORY & STG,Organized Estate / Factory,Assam,"MADHUPUR,MADHUPUR-BL",25
OATING TEA ESTATE FACTORY,Organized Estate / Factory,Assam,"OATING, OATING-BL",25
MADHUTING TEA PVT. LTDMADHUTING TE,Organized Estate / Factory,Assam,"MADHUTING, MADHUHATI",25
MAHABIR TEA ESTATEMAHABIR TEA ESTATE,Organized Estate / Factory,Assam,"JOKAI, SAINAGAR",25
MAHADEOBARI TEA COMPANY PVT. LTD. MAHADEOBARI TEA ESTATE,Organized Estate / Factory,Assam,MAHADEOBARI,25
MANABARRIE TEA CO. LTDKACHARIGAON TEA ESTATE,Organized Estate / Factory,Assam,KACHARIGAON,25
MANDHANIA TEA & INDUSTRIES MANDHANIA TEA & INDUSTRIES- SHG,Bought Leaf Factory (BLF),Assam,,25
"DHOOM, DIMORUGURI, SATYAM, MIRABARI MANIPUR TEA CO. PVT. LTD.MANIPUR TEA ESTATE",Organized Estate / Factory,Assam,"ANJANEYA, MANIPUR",25
MANKHOWA TEA COMPANYMANKHOWA TEA ESTATE,Organized Estate / Factory,Assam,,25
"MANKHOWA - GOLD, MANKHOWA MANTRI TEA CO PVT. LTDPATHINI TEA ESTATE",Organized Estate / Factory,Assam,"PATHINI, VASUNDHARA",25
MARANGI PVT LTD.MARANGI TEA ESTATE & FACTORY &,Organized Estate / Factory,Assam,"MARANGI, UDAYAN",25
MAZBAT TEA ESTATE LTDMAZBAT TEA ESTATE,Organized Estate / Factory,Assam,"MAZBAT, MAGAON, MAZBAT",25
"GOGRA TEA ESTATE, HALEM TEA ESTATE, MONABARI TEA ESTATE &",Organized Estate / Factory,Assam,,26
"ESTATE,PANEERY TEA ESTATE,DIMAKUSI TEA ESTATE,",Organized Estate / Factory,Assam,,26
"ESTATE,RUPAJULI TEA ESTATE, TEZPORE AND GOGRA TEA ESTATES &",Organized Estate / Factory,Assam,,26
MARGHERITA TEA ESTATE & NAMDANG TEA ESTATE & FACTORIES,Organized Estate / Factory,Assam,,26
"HUNWAL ESTATE, RAJMAI ESTATE, BEHORA ESTATE, BUKHIAL FACTORIES",Organized Estate / Factory,Assam,,26
"HUNWAL, RAJMAI, BEHORA, BUKHIAL BAGHJAN TEA ESTATE",Organized Estate / Factory,Assam,BAGHJAN,26
BEESAKOPIE TEA ESTATE,Organized Estate / Factory,Assam,BEESAKOPIE,26
BORDUBI TEA ESTATE,Organized Estate / Factory,Assam,BORDUBI TE,26
PHILLOBARI TEA ESTATE,Organized Estate / Factory,Assam,PHILLOBARI TE,26
GINGIA TE,Organized Estate / Factory,Assam,GINGIA TEA ESTATE,26
KOILAMARI TE,Organized Estate / Factory,Assam,KOILAMARI,26
KOOMSONG TE,Organized Estate / Factory,Assam,KOOMSONG T.E,26
MAJULIGHUR TE,Organized Estate / Factory,Assam,MAJULIGHUR,26
SINGLIJAN TE,Organized Estate / Factory,Assam,SINGLIJAN TE,26
RAIDANG TEA ESTATE,Organized Estate / Factory,Assam,RAIDANG T.E.,26
SAMDANG TEA ESTATE,Organized Estate / Factory,Assam,SAMDANG(orthodox),26
SEAJULI,Organized Estate / Factory,Assam,SEAJULI TEA ESTATE,27
MLD GROUP- BATELI TEA COMPANY LTD BATELI TEA ESTATE & STG,Organized Estate / Factory,Assam,BATELI,27
MODI TEA & INDUSTRIES PVT. LTD MODI TEA & INDUSTRIES PVT. LTD,Bought Leaf Factory (BLF),Assam,"MODI TEA , MODI TEA CLONAL",27
